goodreads_book_id,best_book_id,work_id,books_count,isbn,original_publication_year,original_title,language_code,average_rating,work_ratings_count,work_text_reviews_count,image_url
15745753,15745753,17225055,103,1250012570,2013.0,Eleanor & Park,eng,4.11,579753,53005,https://images.gr-assets.com/books/1341952742m/15745753.jpg
7735333,7735333,9631645,84,525423648,2010.0,Matched,eng,3.68,530680,30226,https://images.gr-assets.com/books/1367706191m/7735333.jpg
4502507,4556058,4551489,87,739380338,2009.0,The Last Olympian,eng,4.5,499510,17693,https://images.gr-assets.com/books/1327924597m/4502507.jpg
6304335,6304335,6488966,119,316042676,2009.0,Beautiful Creatures,eng,3.76,458518,20808,https://images.gr-assets.com/books/1327873282m/6304335.jpg
7171637,7171637,6674837,103,1416975861,2010.0,Clockwork Angel,eng,4.33,515759,24385,https://images.gr-assets.com/books/1454962884m/7171637.jpg
24770,24770,2895388,98,689865384,2005.0,Uglies,eng,3.86,464589,21234,https://images.gr-assets.com/books/1443904172m/24770.jpg
6339664,6339664,6525609,91,1416989412,2009.0,"Hush, Hush",en-US,4.0,461802,21871,https://images.gr-assets.com/books/1358261334m/6339664.jpg
10507293,10507293,15413183,93,62059939,2012.0,The Selection,en-US,4.15,539091,35681,https://images.gr-assets.com/books/1322103400m/10507293.jpg
561456,561456,2936530,94,141382899,2007.0,The Titan's Curse,eng,4.33,486262,15418,https://images.gr-assets.com/books/1361038385m/561456.jpg
11127,11127,781271,270,66238501,1956.0,The Chronicles of Narnia,eng,4.24,401676,8871,https://images.gr-assets.com/books/1449868701m/11127.jpg
249747,249747,1334778,163,786817879,2001.0,Artemis Fowl,eng,3.82,399165,8384,https://images.gr-assets.com/books/1327945104m/249747.jpg
6487308,6487308,6678670,97,385738935,2009.0,Fallen,en-US,3.74,408108,17725,https://images.gr-assets.com/books/1440619649m/6487308.jpg
439288,439288,118521,87,014131088X,1999.0,Speak,eng,4.0,372404,18379,https://images.gr-assets.com/books/1310121762m/439288.jpg
47281,47281,2677305,81,440227534,1989.0,Number the Stars,eng,4.11,342365,10304,https://images.gr-assets.com/books/1370917812m/47281.jpg
2839,2839,2237401,125,439366771,1977.0,Bridge to Terabithia,eng,3.98,353474,9270,https://images.gr-assets.com/books/1327880087m/2839.jpg
30183,30183,30573,97,312360266,2007.0,Marked,en-US,3.79,371020,12870,https://images.gr-assets.com/books/1317067002m/30183.jpg
11387515,11387515,16319487,124,375869026,2012.0,Wonder,eng,4.43,377791,43021,https://images.gr-assets.com/books/1309285027m/11387515.jpg
11235712,11235712,15545385,92,312641893,2012.0,Cinder,eng,4.15,454146,41109,https://images.gr-assets.com/books/1470056948m/11235712.jpg
7631105,7631105,6574198,107,385738757,2010.0,The Scorch Trials,eng,3.93,346307,23058,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
24337,24337,2485462,61,590920685,1997.0,Ella Enchanted,eng,3.97,345749,8534,https://images.gr-assets.com/books/1410727190m/24337.jpg
49750,49750,48658,116,525476881,2006.0,An Abundance of Katherines,eng,3.63,347424,20657,https://images.gr-assets.com/books/1360206426m/49750.jpg
11614718,11614718,10342808,108,61726834,2011.0,Delirium,eng,3.99,352398,24271,https://images.gr-assets.com/books/1327890411m/11614718.jpg
17061,17061,2834844,153,61139378,2002.0,Coraline,eng,4.03,343630,13905,https://images.gr-assets.com/books/1493497435m/17061.jpg
140225,140225,3349054,299,006112527X,1951.0,The Voyage of the Dawn Treader,eng,4.08,325264,4620,https://images.gr-assets.com/books/1343185059m/140225.jpg
9520360,9520360,14406312,69,1423140591,2011.0,The Son of Neptune ,eng,4.44,316800,12270,https://images.gr-assets.com/books/1464201114m/9520360.jpg
39999,39999,1148702,178,385751060,2006.0,The Boy in the Striped Pyjamas,eng,4.1,325401,19058,https://images.gr-assets.com/books/1366228171m/39999.jpg
6752378,6752378,6948844,96,1442403543,2011.0,City of Fallen Angels,en-US,4.16,373167,18870,https://images.gr-assets.com/books/1369452302m/6752378.jpg
2213661,2213661,2219449,129,60530928,2008.0,The Graveyard Book,en-US,4.12,325451,23840,https://images.gr-assets.com/books/1303859949m/2213661.jpg
28194,28194,2628323,134,439709105,2003.0,Tintenherz,en-US,3.86,301414,10384,https://images.gr-assets.com/books/1328866790m/28194.jpg
8755776,8755776,13629058,101,1442416866,2012.0,City of Lost Souls,eng,4.3,327869,16639,https://images.gr-assets.com/books/1460477703m/8755776.jpg
9275658,9275658,14157512,91,039925675X,2011.0,Legend,eng,4.19,318472,23487,https://images.gr-assets.com/books/1501368160m/9275658.jpg
65605,65605,1031537,312,60764902,1953.0,The magician's nephew,eng,4.01,303570,8690,https://images.gr-assets.com/books/1308814770m/65605.jpg
7747374,7747374,10576999,38,61969559,2010.0,I Am Number Four,en-US,3.94,270195,14101,https://images.gr-assets.com/books/1305807140m/7747374.jpg
121749,121749,3348636,348,000720230X,1951.0,Prince Caspian: The Return to Narnia,eng,3.96,273069,4737,https://images.gr-assets.com/books/1308814880m/121749.jpg
10025305,10025305,6674845,99,1416975888,2011.0,Clockwork Prince,eng,4.46,328019,17854,https://images.gr-assets.com/books/1460477747m/10025305.jpg
3236307,3236307,3270810,87,015206396X,2008.0,Graceling,en-CA,4.1,296630,19081,https://images.gr-assets.com/books/1331548394m/3236307.jpg
6936382,6936382,7168450,79,525423273,2010.0,Anna and the French Kiss,en-US,4.08,285344,26153,https://images.gr-assets.com/books/1358271931m/6936382.jpg
119324,119324,1570229,55,679879250,1997.0,The Subtle Knife,eng,4.1,270785,6139,https://images.gr-assets.com/books/1451271814m/119324.jpg
22232,22232,963221,85,439488400,2000.0,Stargirl,eng,3.74,245315,11717,https://images.gr-assets.com/books/1335947642m/22232.jpg
7090447,7090447,7346572,76,1423113381,2010.0,The Red Pyramid,eng,4.06,242889,10914,https://images.gr-assets.com/books/1366227978m/7090447.jpg
7864437,7864437,11022464,88,385738773,2011.0,The Death Cure,eng,3.77,257184,19975,https://images.gr-assets.com/books/1303997647m/7864437.jpg
6567017,6567017,6759965,86,525421580,2010.0,"Will Grayson, Will Grayson",eng,3.84,254305,15782,https://images.gr-assets.com/books/1368393890m/6567017.jpg
2282133,2282133,6651004,93,1595141758,2008.0,Frostbite,eng,4.3,270065,10056,https://images.gr-assets.com/books/1361098960m/2282133.jpg
233818,233818,3215136,127,440439884,1960.0,Island of the Blue Dolphins,en-CA,3.8,245968,6699,https://images.gr-assets.com/books/1475166260m/233818.jpg
50,50,1158125,93,689840926,1986.0,Hatchet,en-US,3.68,231963,10378,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7896527,7896527,11138426,73,1599906953,2012.0,Throne of Glass,eng,4.24,327865,29145,https://images.gr-assets.com/books/1495278054m/7896527.jpg
2802316,2802316,6651006,88,1595141979,2008.0,Shadow Kiss,en-US,4.37,278963,10074,https://images.gr-assets.com/books/1361099049m/2802316.jpg
3950967,3950967,3007490,131,747599874,2007.0,The Tales of Beedle the Bard,en-US,4.06,319107,11330,https://images.gr-assets.com/books/1373467575m/3950967.jpg
3975774,3975774,4021549,78,031253275X,2009.0,Evermore,en-US,3.59,235704,9228,https://images.gr-assets.com/books/1362336360m/3975774.jpg
6479259,6479259,6670482,71,1595142509,2010.0,Spirit Bound,eng,4.37,235076,8030,https://images.gr-assets.com/books/1291168967m/6479259.jpg
5996153,5996153,6651007,76,1595141987,2009.0,Blood Promise,en-US,4.35,244376,8782,https://images.gr-assets.com/books/1442530605m/5996153.jpg
862041,862041,2962492,76,545044251,1998.0,Complete Harry Potter Boxed Set,eng,4.74,204125,6508,https://images.gr-assets.com/books/1392579059m/862041.jpg
16248068,16248068,20397129,84,62059963,2013.0,The Elite,eng,4.02,269816,21810,https://images.gr-assets.com/books/1391454595m/16248068.jpg
46799,46799,2115708,92,1416914633,1971.0,Go Ask Alice,eng,3.77,205554,9202,https://images.gr-assets.com/books/1327870536m/46799.jpg
12127750,12127750,17115055,65,1423140605,2012.0,The Mark of Athena,eng,4.47,293586,13332,https://images.gr-assets.com/books/1464201354m/12127750.jpg
7791997,7791997,6867038,73,1416989439,2010.0,Crescendo,en-US,4.07,234040,10041,https://images.gr-assets.com/books/1362408146m/7791997.jpg
6482837,6482837,6674135,82,61726818,2010.0,Before I Fall,eng,3.92,232559,17705,https://images.gr-assets.com/books/1361044695m/6482837.jpg
51738,51738,1032901,61,670061050,2006.0,Just Listen,en-US,4.06,207930,7319,https://images.gr-assets.com/books/1358270741m/51738.jpg
2248573,2248573,3124969,143,375826726,2008.0,Brisingr,eng,4.03,226941,7993,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
676924,676924,662923,80,312360282,2007.0,Betrayed: a House of Night Novel,en-US,3.93,213261,4993,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
16101128,16101128,19187812,102,399162410,2013.0,The 5th Wave,eng,4.1,287540,26756,https://images.gr-assets.com/books/1359853842m/16101128.jpg
18335634,18335634,6309710,79,1406321346,2013.0,Clockwork Princess,eng,4.59,247984,23261,https://images.gr-assets.com/books/1436788488m/18335634.jpg
8492825,8492825,10706553,8,525422943,2011.0,Where She Went,en-US,4.06,218362,18556,https://images.gr-assets.com/books/1347810457m/8492825.jpg
18122,18122,1774510,42,440238153,2000.0,The Amber Spyglass,eng,4.06,217610,6693,https://images.gr-assets.com/books/1329189152m/18122.jpg
307791,307791,2285229,69,375822747,2003.0,The City of Ember,eng,3.85,204085,9322,https://images.gr-assets.com/books/1397931596m/307791.jpg
2866718,2866718,2892871,67,312379838,2008.0,Untamed: A House of Night Novel,en-US,3.95,198350,3356,https://images.gr-assets.com/books/1438037020m/2866718.jpg
38980,38980,2073907,125,613371658,2000.0,The Princess Diaries,eng,3.76,200671,4289,https://images.gr-assets.com/books/1355011082m/38980.jpg
18635016,18635016,21587145,94,62059998,2014.0,The One,eng,4.21,237039,21608,https://images.gr-assets.com/books/1395612906m/18635016.jpg
7938275,7938275,11349083,78,545265355,2010.0,The Hunger Games Box Set,eng,4.49,159760,6429,https://images.gr-assets.com/books/1360094673m/7938275.jpg
4268157,4268157,4315675,52,802798233,2008.0,Perfect Chemistry,eng,4.07,205008,9882,https://images.gr-assets.com/books/1439792475m/4268157.jpg
24768,24768,1568076,78,689865392,2005.0,Pretties,eng,3.85,203755,9390,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9593911,9593911,14480923,76,006197806X,2012.0,Pandemonium,eng,4.07,191644,13876,https://images.gr-assets.com/books/1310371414m/9593911.jpg
8490112,8490112,13355552,89,316134023,2011.0,Daughter of Smoke & Bone,eng,4.04,228815,23582,https://images.gr-assets.com/books/1461353773m/8490112.jpg
17878931,22328546,25037051,84,1409151174,2015.0,Red Queen,eng,4.08,289740,30249,https://images.gr-assets.com/books/1411472322m/17878931.jpg
51737,51737,1032900,45,142406252,2004.0,The Truth About Forever,en-US,4.13,183697,7421,https://images.gr-assets.com/books/1362767907m/51737.jpg
84119,84119,3294501,280,439861365,1954.0,The horse and his boy,eng,3.9,209180,4913,https://images.gr-assets.com/books/1388210968m/84119.jpg
6527740,6527740,13385418,63,1595143068,2010.0,Last Sacrifice ,eng,4.42,217652,10312,https://images.gr-assets.com/books/1319850978m/6527740.jpg
162085,162085,2191061,75,60887303,2006.0,Pretty Little Liars,en-US,3.9,165836,8160,https://images.gr-assets.com/books/1377830522m/162085.jpg
378,378,1782584,82,394820371,1961.0,The Phantom Tollbooth,en-US,4.22,185392,8011,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
248704,248704,240980,32,078685197X,2006.0,It's Kind of a Funny Story,en-US,4.14,165713,8461,https://images.gr-assets.com/books/1420629730m/248704.jpg
13152,13152,1829521,96,446617792,2005.0,The Angel Experiment,eng,4.08,183035,8606,https://images.gr-assets.com/books/1339277875m/13152.jpg
84981,84981,1955922,127,374480095,1975.0,Tuck Everlasting,eng,3.85,184056,7187,https://images.gr-assets.com/books/1445184695m/84981.jpg
10637766,10637766,14158688,65,1442426640,2011.0,Silence ,eng,4.16,197338,7290,https://images.gr-assets.com/books/1362408152m/10637766.jpg
3682,3682,2113193,65,689875347,2003.0,A Great and Terrible Beauty,eng,3.79,182107,8902,https://images.gr-assets.com/books/1284558475m/3682.jpg
693208,693208,829330,67,316013684,2007.0,The Absolutely True Diary of a Part-Time Indian,eng,4.11,171492,18988,https://images.gr-assets.com/books/1327908992m/693208.jpg
13642,13642,113603,157,553383043,1968.0,A Wizard of Earthsea,en-US,3.99,167058,5357,https://images.gr-assets.com/books/1353424536m/13642.jpg
5148,5148,39755,82,743253973,1959.0,A Separate Peace,en-US,3.56,162403,5580,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7740152,7740152,7380161,82,385739141,2010.0,Torment,eng,3.89,181384,7245,https://images.gr-assets.com/books/1362339749m/7740152.jpg
65641,65641,1419727,257,64405044,1953.0,The Silver Chair,eng,3.95,185348,3391,https://images.gr-assets.com/books/1336139237m/65641.jpg
8755785,8755785,13629068,7,1481426303,2014.0,City of Heavenly Fire,eng,4.48,203325,19582,https://images.gr-assets.com/books/1460477794m/8755785.jpg
22205,22205,132402,42,142501557,2002.0,This Lullaby,eng,4.03,155107,4597,https://images.gr-assets.com/books/1397779294m/22205.jpg
37732,37732,4121,75,689841582,1970.0,"Are You There God? It's Me, Margaret",eng,3.89,162083,5168,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10429045,10429045,15333458,77,62085484,2011.0,"Shatter Me (Shatter Me, #1)",en-US,4.01,200300,20959,https://images.gr-assets.com/books/1310649047m/10429045.jpg
84369,84369,1059917,245,7202326,1956.0,The Last Battle,eng,4.02,174641,4156,https://images.gr-assets.com/books/1308814830m/84369.jpg
1326258,1326258,1315683,77,312360304,2008.0,Chosen: A House of Night Novel,en-US,3.9,188550,4013,https://images.gr-assets.com/books/1393192825m/1326258.jpg
544891,544891,532177,74,60874163,2007.0,"Beastly (Beastly, #1, Kendra Chronicles, #1)",eng,3.84,157088,8576,https://images.gr-assets.com/books/1334260193m/544891.jpg
7664041,7664041,10260587,119,375856110,2011.0,Inheritance,en-US,4.08,162717,8891,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
15812814,15812814,14449475,63,142421715,2011.0,Crossed,eng,3.52,179584,14020,https://images.gr-assets.com/books/1374335939m/15812814.jpg
852470,852470,1008494,58,1423100034,2006.0,"I'd Tell You I Love You, But Then I'd Have to Kill You",en-US,3.82,157885,6720,https://images.gr-assets.com/books/1334491180m/852470.jpg
5664985,5664985,5836517,41,670011940,2009.0,Along for the Ride,eng,4.08,156330,6238,https://images.gr-assets.com/books/1479692098m/5664985.jpg
12127810,12127810,21539506,63,1423146727,2013.0,The House of Hades,eng,4.54,175407,11843,https://images.gr-assets.com/books/1464201430m/12127810.jpg
2536134,2536134,2543657,61,61448761,2008.0,Gone,eng,3.85,153953,9445,https://images.gr-assets.com/books/1357796831m/2536134.jpg
53496,53496,1237212,65,60739495,1994.0,Walk Two Moons,eng,3.95,132970,5530,https://images.gr-assets.com/books/1389035862m/53496.jpg
764347,764347,750423,62,1416912045,2007.0,Unwind,eng,4.18,152643,15376,https://images.gr-assets.com/books/1297677706m/764347.jpg
7937462,7937462,11342428,93,031612558X,2009.0,The Short Second Life of Bree Tanner,eng,3.51,159769,9885,https://images.gr-assets.com/books/1274335680m/7937462.jpg
518848,518848,3312237,99,64471837,1995.0,Sabriel,en-US,4.17,146144,5652,https://images.gr-assets.com/books/1293655399m/518848.jpg
6644117,6644117,6838626,58,373210086,2010.0,"The Iron King (The Iron Fey, #1) ",eng,3.92,163118,10506,https://images.gr-assets.com/books/1327877670m/6644117.jpg
8709527,8709527,13582374,37,1595143173,2011.0,Bloodlines,en-US,4.22,146134,7698,https://images.gr-assets.com/books/1297199431m/8709527.jpg
13206828,13206828,18390772,51,312642970,2014.0,Cress,eng,4.46,177466,20055,https://images.gr-assets.com/books/1470057005m/13206828.jpg
24765,24765,3278286,66,689865406,2006.0,Specials,eng,3.77,148783,7313,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4134071,4134071,4181277,63,031237982X,2009.0,Hunted,eng,3.93,146051,3204,https://images.gr-assets.com/books/1438042897m/4134071.jpg
3980,3980,1384549,83,744583276,1967.0,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,eng,4.15,144108,5440,https://images.gr-assets.com/books/1327784751m/3980.jpg
6917952,6917952,7145410,61,1905654944,2010.0,Burned: A House of Night Novel,eng,3.98,129493,2999,https://images.gr-assets.com/books/1327944437m/6917952.jpg
9673436,9673436,527941,73,439813786,2007.0,The Invention of Hugo Cabret,eng,4.23,135507,13128,https://images.gr-assets.com/books/1422312376m/9673436.jpg
6262365,6262365,6445600,62,1905654588,2008.0,Tempted,eng,3.96,137910,3165,https://images.gr-assets.com/books/1408633041m/6262365.jpg
6294,6294,2001,75,006441034X,1986.0,Howl's Moving Castle,eng,4.3,140348,9219,https://images.gr-assets.com/books/1407450489m/6294.jpg
6931356,6931356,7162394,53,316084239,2010.0,The DUFF: Designated Ugly Fat Friend,en-US,3.86,146547,11130,https://images.gr-assets.com/books/1271108843m/6931356.jpg
1295102,1295102,1284222,38,067001088X,2008.0,Lock and Key,eng,4.01,127649,4950,https://images.gr-assets.com/books/1479691949m/1295102.jpg
13262783,13262783,18464379,66,307931889,2012.0,Every Day,eng,3.99,133960,15539,https://images.gr-assets.com/books/1356993940m/13262783.jpg
402013,402013,108471,67,60288140,1999.0,"Angus, Thongs and Full-Frontal Snogging",eng,3.74,118893,3833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
139463,139463,3264295,49,590452037,1990.0,Maniac Magee,eng,3.86,104657,3689,https://images.gr-assets.com/books/1395884800m/139463.jpg
12936,12936,2134456,73,385732562,2000.0,Gathering Blue,eng,3.8,127810,9480,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
902,902,869832,38,014240120X,1978.0,The Westing Game,eng,4.03,124343,7814,https://images.gr-assets.com/books/1356850909m/902.jpg
305234,305234,296240,62,61214655,2007.0,Wicked Lovely ,en-US,3.69,136316,6591,https://images.gr-assets.com/books/1327814035m/305234.jpg
2800905,2800905,2451397,52,61662690,2008.0,The Summoning,en-US,4.03,136832,5830,https://images.gr-assets.com/books/1478986944m/2800905.jpg
23164983,23164983,17377739,29,1594747350,2014.0,Hollow City,eng,4.07,132924,14221,https://images.gr-assets.com/books/1429175859m/23164983.jpg
9067850,9067850,13945952,66,1423140567,2011.0,The Throne of Fire,eng,4.2,123024,4900,https://images.gr-assets.com/books/1366227973m/9067850.jpg
114955,114955,508999,121,786851473,2002.0,The Arctic Incident,eng,3.94,114867,2434,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
18460392,18460392,26113532,74,385755880,2015.0,All the Bright Places,eng,4.19,146542,21192,https://images.gr-assets.com/books/1404331702m/18460392.jpg
17402605,17402605,3354660,85,552562521,2007.0,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,eng,3.84,115864,7165,https://images.gr-assets.com/books/1361310229m/17402605.jpg
270730,270730,262457,22,689865198,2004.0,"Crank (Crank, #1)",eng,4.16,105823,7239,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
17675462,17675462,18970934,64,545424925,2012.0,The Raven Boys,eng,4.05,159696,20296,https://images.gr-assets.com/books/1477103737m/17675462.jpg
6137154,6137154,6128277,70,803734611,2009.0,Fire,en-US,4.12,133462,9159,https://images.gr-assets.com/books/1331535456m/6137154.jpg
18116,18116,1943518,81,440238609,2000.0,His Dark Materials,eng,4.25,102040,4499,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9369720,9369720,10958266,66,385739168,2011.0,Passion,eng,3.89,125252,5464,https://images.gr-assets.com/books/1362339802m/9369720.jpg
13089710,13089710,18261314,66,385742886,2012.0,The Kill Order,eng,3.69,109441,8219,https://images.gr-assets.com/books/1330636153m/13089710.jpg
20820994,20820994,11409817,71,803734964,2014.0,I'll Give You the Sun,eng,4.14,153584,16701,https://images.gr-assets.com/books/1496659336m/20820994.jpg
6654313,6654313,6848948,76,545123283,2010.0,Linger,en-US,3.91,133284,8784,https://images.gr-assets.com/books/1292482391m/6654313.jpg
17182126,17182126,21366540,64,385743564,2013.0,Steelheart,eng,4.16,102116,10160,https://images.gr-assets.com/books/1357576738m/17182126.jpg
872333,872333,857698,47,786838922,2006.0,Blue Bloods,en-US,3.68,120989,4679,https://images.gr-assets.com/books/1322281515m/872333.jpg
8621462,8621462,13492114,138,1406311529,2011.0, A Monster Calls ,eng,4.36,132593,24522,https://images.gr-assets.com/books/1485991317m/8621462.jpg
12875258,12875258,18028067,49,679644199,2012.0,Tell the Wolves I'm Home,eng,4.04,96546,11579,https://images.gr-assets.com/books/1335450415m/12875258.jpg
10194157,10194157,15093325,66,805094598,2012.0,Shadow and Bone,eng,4.05,149447,17829,https://images.gr-assets.com/books/1339533695m/10194157.jpg
14290364,14290364,19931517,57,399256776,2013.0,Champion,eng,4.37,123289,12759,https://images.gr-assets.com/books/1382652310m/14290364.jpg
